,Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered
17972,Unknown,India,2020-09-13 04:30:52,0,0,0
18009,Unknown,India,2020-09-14 04:26:00,0,0,0
15509,Unknown,India,2020-09-15 03:22:50,0,0,0
15472,Unknown,India,2020-09-16 04:22:53,0,0,0
2043,Unknown,India,2020-09-17 04:22:00,0,0,0
2080,Unknown,India,2020-09-18 05:05:00,0,0,0
19387,Unknown,India,2020-09-19 04:22:00,0,0,0
19424,Unknown,India,2020-09-20 04:22:00,0,0,0
16739,Unknown,India,2020-09-21 04:23:00,0,0,0
16702,Unknown,India,2020-09-22 04:23:00,0,0,0
629,Unknown,India,2020-09-23 04:23:00,0,0,0
666,Unknown,India,2020-09-24 04:23:00,0,0,0
9570,Unknown,India,2020-09-25 04:23:00,0,0,0
9533,Unknown,India,2020-09-26 04:23:00,0,0,0
18901,Unknown,India,2020-09-27 04:23:00,0,0,0
18938,Unknown,India,2020-09-28 04:23:00,0,0,0
1560,Unknown,India,2020-09-29 04:23:42,0,0,0
1671,Unknown,India,2020-09-30 04:23:33,0,0,0
21536,Unknown,India,2020-10-01 04:23:42,0,0,0
555,Unknown,India,2020-10-02 04:23:51,0,0,0
16628,Unknown,India,2020-10-03 04:23:40,0,0,0
16665,Unknown,India,2020-10-04 04:23:44,0,0,0
18864,Unknown,India,2020-10-05 04:23:33,0,0,0
18827,Unknown,India,2020-10-06 04:23:33,0,0,0
9459,Unknown,India,2020-10-07 04:23:40,0,0,0
9496,Unknown,India,2020-10-08 04:23:56,0,0,0
14766,Unknown,India,2020-10-09 04:23:59,0,0,0
14840,Unknown,India,2020-10-10 04:23:57,0,0,0
6083,Unknown,India,2020-10-11 04:23:46,0,0,0
6009,Unknown,India,2020-10-12 04:23:45,0,0,0
21610,Unknown,India,2020-10-13 04:24:02,0,0,0
21647,Unknown,India,2020-10-14 04:24:05,0,0,0
13432,Unknown,India,2020-10-15 04:24:28,0,0,0
13395,Unknown,India,2020-10-16 04:24:01,0,0,0
2712,Unknown,India,2020-10-17 04:24:12,0,0,0
2749,Unknown,India,2020-10-18 04:24:25,0,0,0
20201,Unknown,India,2020-10-19 04:24:16,0,0,0
20238,Unknown,India,2020-10-20 04:24:22,0,0,0
13284,Unknown,India,2020-10-21 04:24:14,0,0,0
13247,Unknown,India,2020-10-22 04:24:27,0,0,0
5641,Unknown,India,2020-10-23 04:24:46,0,0,0
5678,Unknown,India,2020-10-24 04:24:46,0,0,0
8828,Unknown,India,2020-10-25 04:24:36,0,0,0
8791,Unknown,India,2020-10-26 04:25:02,0,0,0
21055,Unknown,India,2020-10-27 04:24:45,0,0,0
21092,Unknown,India,2020-10-28 04:24:39,0,0,0
3528,Unknown,India,2020-10-29 04:24:49,0,0.0,0
3565,Unknown,India,2020-10-30 04:24:49,0,0,0
18083,Unknown,India,2020-10-31 04:24:44,0,0,0
18046,Unknown,India,2020-11-01 04:36:19,0,0,0
17150,Unknown,India,2020-11-02 05:25:04,0,0,0
1079,Unknown,India,2020-11-03 06:00:16,0,0,0
1042,Unknown,India,2020-11-04 05:25:09,0,0,0
10534,Unknown,India,2020-11-05 06:05:03,0,0,0
10571,Unknown,India,2020-11-06 05:24:55,0,0,0
19720,Unknown,India,2020-11-07 05:24:52,0,0,0
19683,Unknown,India,2020-11-08 05:24:56,0,0,0
2192,Unknown,India,2020-11-09 05:25:45,0,0,0
2118,Unknown,India,2020-11-10 05:40:07,0,0,0.0
22206,Unknown,India,2020-11-11 05:25:30,0,0,0.0
22280,Unknown,India,2020-11-12 05:25:55,0,0,0.0
6751,Unknown,India,2020-11-13 05:25:30,0,0,0
6714,Unknown,India,2020-11-14 05:25:37,0,0,0
3674,Unknown,India,2020-11-15 05:26:53,0,0,0
3711,Unknown,India,2020-11-16 05:25:57,0,0,0
14431,Unknown,India,2020-11-17 05:25:54,0,0,0
14394,Unknown,India,2020-11-18 05:40:31,0,0,0
9015,Unknown,India,2020-11-19 05:25:23,0,0,0
8941,Unknown,India,2020-11-20 05:26:28,0,0,0
4675,Unknown,India,2020-11-21 05:25:51,0,0,0
4712,Unknown,India,2020-11-22 05:25:45,0,0,0
12466,Unknown,India,2020-11-23 05:25:26,0,0,0
12429,Unknown,India,2020-11-24 05:27:31,0,0,0
20462,Unknown,India,2020-11-25 05:27:20,0,0,0
20499,Unknown,India,2020-11-26 05:27:44,0,0,0
8232,Unknown,India,2020-11-27 05:26:53,0,0,0
8195,Unknown,India,2020-11-28 05:25:50,0,0,0
