Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,New Cases,New Deaths,state_code
Nagaland,2020-09-22,5544,15,4477,1052.0,25866.0,654.0,13
Tripura,2020-09-22,22834,251,15883,6700.0,43795.0,432.0,16
Uttarakhand,2020-09-22,41777,501,29201,12075.0,8285.0,147.0,5
Haryana,2020-09-22,113075,1177,90884,21014.0,657447.0,8502.0,6
Maharashtra,2020-09-22,1224380,33015,916348,275017.0,3772378.0,41398.0,27
Jammu and Kashmir,2020-09-23,66261,1042,43734,21485.0,81947.0,1021.0,1
Meghalaya,2020-09-23,4791,38,2706,2047.0,86596.0,1491.0,17
Puducherry,2020-09-23,23684,473,18454,4757.0,15822.0,187.0,34
Jharkhand,2020-09-23,73948,641,60027,13280.0,35590.0,330.0,20
Unknown,2020-09-23,0,0,0,0.0,0.0,0.0,97
Andhra Pradesh,2020-09-23,639302,5461,562376,71465.0,242646.0,1643.0,37
Manipur,2020-09-23,9280,60,6887,2333.0,18366.0,277.0,14
Chhattisgarh,2020-09-23,90917,718,52001,38198.0,915981.0,12875.0,22
Gujarat,2020-09-23,126007,3352,106285,16370.0,137669.0,1044.0,24
Lakshadweep,2020-09-23,0,0,0,0.0,0.0,0.0,31
Odisha,2020-09-23,188311,721,153213,34377.0,148011.0,1191.0,21
West Bengal,2020-09-23,231484,4483,202030,24971.0,1266821.0,13196.0,19
Tripura,2020-09-23,23338,253,16486,6599.0,9987.0,137.0,16
Ladakh,2020-09-23,3887,50,2809,1028.0,6339.0,80.0,38
Uttarakhand,2020-09-23,42651,512,30308,11831.0,301336.0,6891.0,5
Goa,2020-09-23,29343,368,23462,5513.0,209563.0,3325.0,30
Delhi,2020-09-23,253075,5051,216401,31623.0,281242.0,3461.0,7
Kerala,2020-09-23,142756,572,101731,40453.0,-46839.0,-188.0,32
Punjab,2020-09-23,101341,2926,77127,21288.0,500794.0,13625.0,3
Karnataka,2020-09-23,533850,8228,432450,93172.0,367560.0,3716.0,29
Himachal Pradesh,2020-09-23,12769,134,8511,4124.0,215170.0,3726.0,2
Tamil Nadu,2020-09-23,552674,8947,497377,46350.0,286168.0,3416.0,33
Chandigarh,2020-09-23,10546,130,7794,2622.0,10273.0,204.0,4
Uttar Pradesh,2020-09-23,364543,5212,296183,63148.0,1640702.0,17952.0,9
Bihar,2020-09-23,171255,873,157454,12928.0,-58818.0,-386.0,10
Haryana,2020-09-23,114870,1206,93776,19888.0,-89323.0,-862.0,6
Nagaland,2020-09-23,5604,15,4517,1072.0,6625.0,77.0,13
Maharashtra,2020-09-23,1242770,33407,936554,272809.0,-1099870.0,-26668.0,27
Dadra and Nagar Haveli and Daman and Diu,2020-09-23,2944,2,2744,198.0,7861.0,2.0,26
Arunachal Pradesh,2020-09-23,7844,14,5778,2052.0,8988.0,42.0,12
Assam,2020-09-23,161393,586,130950,29857.0,450094.0,5429.0,18
Rajasthan,2020-09-23,118793,1367,98812,18614.0,835302.0,7587.0,8
Madhya Pradesh,2020-09-23,110711,2035,86030,22646.0,676464.0,6440.0,23
Mizoram,2020-09-23,1713,0,1023,690.0,2682.0,10.0,15
Andaman and Nicobar Islands,2020-09-23,3691,52,3479,160.0,3397.0,69.0,35
Sikkim,2020-09-23,2594,29,2009,556.0,5874.0,121.0,11
Telangana,2020-09-23,177070,1062,146135,29873.0,-161676.0,-809.0,36
Madhya Pradesh,2020-09-24,113057,2077,88168,22812.0,679899.0,8447.0,23
Maharashtra,2020-09-24,1263799,33886,956030,273883.0,5346107.0,106310.0,27
Nagaland,2020-09-24,5671,16,4536,1119.0,6674.0,76.0,13
Lakshadweep,2020-09-24,0,0,0,0.0,10364.0,51.0,31
Odisha,2020-09-24,192548,736,157265,34547.0,99277.0,595.0,21
Mizoram,2020-09-24,1713,0,1095,618.0,-924.0,0.0,15
Andaman and Nicobar Islands,2020-09-24,3712,52,3494,166.0,3789.0,77.0,35
Uttarakhand,2020-09-24,43720,529,31324,11867.0,301220.0,6888.0,5
Delhi,2020-09-24,256789,5087,220866,30836.0,1179906.0,19979.0,7
Meghalaya,2020-09-24,4961,42,2859,2060.0,3443.0,33.0,17
Kerala,2020-09-24,148132,592,104682,42858.0,-97901.0,-410.0,32
Punjab,2020-09-24,103464,2990,79244,21230.0,72600.0,2704.0,3
Jammu and Kashmir,2020-09-24,67510,1062,46530,19918.0,49090.0,750.0,1
Gujarat,2020-09-24,127379,3367,107574,16438.0,103694.0,836.0,24
Dadra and Nagar Haveli and Daman and Diu,2020-09-24,2962,2,2755,205.0,7717.0,2.0,26
Goa,2020-09-24,29879,376,23857,5646.0,-29250.0,-376.0,30
Himachal Pradesh,2020-09-24,13049,140,8959,3950.0,209263.0,3593.0,2
Arunachal Pradesh,2020-09-24,8133,14,5903,2216.0,8708.0,42.0,12
Ladakh,2020-09-24,3933,51,2844,1038.0,17272.0,160.0,38
West Bengal,2020-09-24,234673,4544,205028,25101.0,525269.0,6465.0,19
Jharkhand,2020-09-24,75089,648,61559,12882.0,272215.0,4481.0,20
Chhattisgarh,2020-09-24,93351,728,56773,35850.0,95462.0,1422.0,22
Manipur,2020-09-24,9376,62,7108,2206.0,-482.0,-5.0,14
Puducherry,2020-09-24,24227,481,18893,4853.0,14603.0,163.0,34
Uttar Pradesh,2020-09-24,369686,5299,302689,61698.0,-187233.0,-2432.0,9
Haryana,2020-09-24,116856,1233,96347,19276.0,653630.0,8444.0,6
Andhra Pradesh,2020-09-24,646530,5506,570667,70357.0,1354725.0,8209.0,37
Karnataka,2020-09-24,540847,8266,437910,94671.0,2370880.0,28414.0,29
Chandigarh,2020-09-24,10726,140,8049,2537.0,11512.0,215.0,4
Tripura,2020-09-24,23789,260,16978,6551.0,-22085.0,-259.0,16
Telangana,2020-09-24,179246,1070,148139,30037.0,127959.0,624.0,36
Sikkim,2020-09-24,2628,30,2023,575.0,25024.0,322.0,11
Assam,2020-09-24,163491,597,132712,30182.0,252407.0,2819.0,18
Bihar,2020-09-24,172854,874,159022,12958.0,64698.0,418.0,10
Unknown,2020-09-24,0,0,0,0.0,0.0,0.0,97
Rajasthan,2020-09-24,120739,1382,100365,18992.0,-88405.0,-799.0,8
Tamil Nadu,2020-09-24,557999,9010,502740,46249.0,284731.0,3381.0,33
Delhi,2020-09-25,260623,5123,224375,31125.0,309751.0,4051.0,7
Andhra Pradesh,2020-09-25,654385,5558,579474,69353.0,7073.0,48.0,37
Karnataka,2020-09-25,548557,8331,444658,95568.0,99155.0,1039.0,29
Puducherry,2020-09-25,24895,487,19311,5097.0,14645.0,175.0,34
Dadra and Nagar Haveli and Daman and Diu,2020-09-25,2977,2,2785,190.0,7686.0,2.0,26
Bihar,2020-09-25,174071,878,160178,13015.0,546434.0,8691.0,10
Manipur,2020-09-25,9537,62,7369,2106.0,108584.0,1764.0,14
Tripura,2020-09-25,24130,265,17487,6378.0,-19424.0,-244.0,16
Haryana,2020-09-25,118554,1255,98410,18889.0,653028.0,8798.0,6
Lakshadweep,2020-09-25,0,0,0,0.0,0.0,0.0,31
Unknown,2020-09-25,0,0,0,0.0,0.0,0.0,97
Gujarat,2020-09-25,128787,3381,109079,16327.0,-21983.0,-248.0,24
Rajasthan,2020-09-25,122720,1397,102330,18993.0,832916.0,7566.0,8
Uttar Pradesh,2020-09-25,374277,5366,307611,61300.0,213157.0,3021.0,9
Chhattisgarh,2020-09-25,95623,752,58833,36038.0,-93582.0,-741.0,22
Andaman and Nicobar Islands,2020-09-25,3744,52,3503,189.0,1039.0,9.0,35
Tamil Nadu,2020-09-25,563691,9076,508210,46405.0,322982.0,3643.0,33
Himachal Pradesh,2020-09-25,13386,150,9252,3984.0,-11722.0,-139.0,2
Maharashtra,2020-09-25,1282963,34345,973214,275404.0,-339191.0,-6938.0,27
Meghalaya,2020-09-25,5078,43,3058,1977.0,-3028.0,-35.0,17
Nagaland,2020-09-25,5730,16,4626,1088.0,26288.0,679.0,13
Goa,2020-09-25,30552,383,24347,5822.0,12416.0,209.0,30
Madhya Pradesh,2020-09-25,115361,2122,90495,22744.0,-101064.0,-1529.0,23
Sikkim,2020-09-25,2692,31,2054,607.0,28720.0,356.0,11
Telangana,2020-09-25,181627,1080,150160,30387.0,490163.0,2879.0,36
West Bengal,2020-09-25,237869,4606,208042,25221.0,1339842.0,14318.0,19
Kerala,2020-09-25,154456,613,107850,45993.0,5049966.0,43013.0,32
Jammu and Kashmir,2020-09-25,68614,1084,48079,19451.0,56393.0,860.0,1
Arunachal Pradesh,2020-09-25,8416,14,6071,2331.0,6164.0,22.0,12
Odisha,2020-09-25,196888,752,161044,35092.0,-33968.0,-96.0,21
Jharkhand,2020-09-25,76438,652,62945,12841.0,272006.0,4483.0,20
Uttarakhand,2020-09-25,44404,542,32355,11507.0,52516.0,1140.0,5
Chandigarh,2020-09-25,10968,144,8342,2482.0,50772.0,665.0,4
Punjab,2020-09-25,105220,3066,81475,20679.0,497276.0,13496.0,3
Mizoram,2020-09-25,1786,0,1105,681.0,165939.0,591.0,15
Assam,2020-09-25,165582,608,135144,29830.0,-147775.0,-568.0,18
Ladakh,2020-09-25,3969,54,2893,1022.0,16993.0,154.0,38
Sikkim,2020-09-26,2785,31,2075,679.0,29597.0,374.0,11
Uttarakhand,2020-09-26,45332,555,33843,10934.0,-19896.0,-207.0,5
Tripura,2020-09-26,24408,268,17992,6148.0,60712.0,561.0,16
Meghalaya,2020-09-26,5158,43,3343,1772.0,-4951.0,-41.0,17
Puducherry,2020-09-26,25489,494,19781,5214.0,6248.0,71.0,34
Ladakh,2020-09-26,4025,56,2971,998.0,16583.0,151.0,38
Unknown,2020-09-26,0,0,0,0.0,0.0,0.0,97
Nagaland,2020-09-26,5768,16,4669,1083.0,20481.0,500.0,13
Tamil Nadu,2020-09-26,569370,9148,513836,46386.0,293004.0,3416.0,33
Himachal Pradesh,2020-09-26,13679,157,9546,3976.0,44397.0,831.0,2
Haryana,2020-09-26,120578,1273,101273,18032.0,-99996.0,-976.0,6
Mizoram,2020-09-26,1835,0,1289,546.0,2142.0,6.0,15
Jammu and Kashmir,2020-09-26,69832,1105,49557,19170.0,255147.0,3301.0,1
Kerala,2020-09-26,160933,635,111331,48967.0,4943769.0,37040.0,32
Bihar,2020-09-26,175525,878,161874,12773.0,110703.0,738.0,10
Karnataka,2020-09-26,557212,8417,450302,98493.0,-547491.0,-8267.0,29
Telangana,2020-09-26,183866,1091,152441,30334.0,20882.0,98.0,36
Andaman and Nicobar Islands,2020-09-26,3759,52,3528,179.0,-3596.0,-52.0,35
Maharashtra,2020-09-26,1300757,34761,992806,273190.0,462298.0,11595.0,27
Dadra and Nagar Haveli and Daman and Diu,2020-09-26,2989,2,2805,182.0,409.0,0.0,26
Andhra Pradesh,2020-09-26,661458,5606,588169,67683.0,-616849.0,-5020.0,37
Assam,2020-09-26,167374,625,136715,30034.0,53519.0,493.0,18
Arunachal Pradesh,2020-09-26,8671,14,6230,2427.0,7713.0,41.0,12
Punjab,2020-09-26,107096,3134,84025,19937.0,52003.0,1902.0,3
Chandigarh,2020-09-26,11212,145,8677,2390.0,19955.0,255.0,4
Odisha,2020-09-26,201096,767,165432,34897.0,127642.0,1097.0,21
Delhi,2020-09-26,264450,5147,228436,30867.0,-139354.0,-1457.0,7
Rajasthan,2020-09-26,124730,1412,104288,19030.0,830214.0,7544.0,8
Chhattisgarh,2020-09-26,98565,777,66860,30928.0,22835.0,254.0,22
Uttar Pradesh,2020-09-26,378533,5450,313686,59397.0,1331384.0,17446.0,9
Madhya Pradesh,2020-09-26,117588,2152,93238,22198.0,6578.0,90.0,23
Jharkhand,2020-09-26,77709,661,64515,12533.0,24378.0,224.0,20
West Bengal,2020-09-26,241059,4665,211020,25374.0,39445.0,711.0,19
Goa,2020-09-26,31071,386,25071,5614.0,139128.0,2737.0,30
Manipur,2020-09-26,9791,63,7602,2126.0,18085.0,278.0,14
Gujarat,2020-09-26,130229,3393,110358,16478.0,-89288.0,-1361.0,24
Lakshadweep,2020-09-26,0,0,0,0.0,0.0,0.0,31
Assam,2020-09-27,169110,638,138310,30162.0,552014.0,5911.0,18
Gujarat,2020-09-27,131646,3406,111777,16463.0,694250.0,6676.0,24
Unknown,2020-09-27,0,0,0,0.0,0.0,0.0,97
Manipur,2020-09-27,10051,64,7681,2306.0,11374.0,149.0,14
Odisha,2020-09-27,205452,783,170193,34476.0,721734.0,3516.0,21
Meghalaya,2020-09-27,5212,43,3654,1515.0,90.0,0.0,17
Uttar Pradesh,2020-09-27,382835,5517,320232,57086.0,1327358.0,17386.0,9
Arunachal Pradesh,2020-09-27,8869,14,6397,2458.0,8033.0,42.0,12
Andaman and Nicobar Islands,2020-09-27,3774,52,3551,171.0,3874.0,77.0,35
Jharkhand,2020-09-27,78935,670,65839,12426.0,268288.0,4459.0,20
Bihar,2020-09-27,177072,886,163432,12754.0,84937.0,646.0,10
Punjab,2020-09-27,108684,3188,86013,19483.0,38981.0,1465.0,3
Sikkim,2020-09-27,2833,31,2097,705.0,-2731.0,-31.0,11
Haryana,2020-09-27,122267,1291,103827,17149.0,198432.0,1991.0,6
Uttarakhand,2020-09-27,46281,566,34859,10856.0,272065.0,5454.0,5
Goa,2020-09-27,31574,391,25759,5424.0,31206.0,459.0,30
Jammu and Kashmir,2020-09-27,71049,1125,51494,18430.0,331547.0,3488.0,1
Madhya Pradesh,2020-09-27,119899,2181,95490,22228.0,50791.0,760.0,23
Karnataka,2020-09-27,566023,8503,455719,101801.0,2371404.0,28620.0,29
Dadra and Nagar Haveli and Daman and Diu,2020-09-27,2996,2,2831,163.0,7686.0,2.0,26
Himachal Pradesh,2020-09-27,13996,164,9728,4104.0,210423.0,3598.0,2
Puducherry,2020-09-27,26032,500,20205,5327.0,94973.0,1295.0,34
Kerala,2020-09-27,167939,656,114530,52753.0,4827316.0,32078.0,32
Chhattisgarh,2020-09-27,102461,817,70955,30689.0,549901.0,6493.0,22
Andhra Pradesh,2020-09-27,668751,5663,597294,65794.0,-663322.0,-5583.0,37
Tamil Nadu,2020-09-27,575017,9233,519448,46336.0,-480968.0,-7969.0,33
Telangana,2020-09-27,185833,1100,154499,30234.0,450794.0,2659.0,36
Rajasthan,2020-09-27,126775,1426,105994,19355.0,827813.0,7529.0,8
Maharashtra,2020-09-27,1321176,35191,1016450,269535.0,4930634.0,96014.0,27
Tripura,2020-09-27,24728,270,18392,6066.0,-17524.0,-211.0,16
Delhi,2020-09-27,267822,5193,232912,29717.0,-11033.0,-106.0,7
Nagaland,2020-09-27,5862,16,4819,1027.0,26913.0,687.0,13
Ladakh,2020-09-27,4093,57,3018,1018.0,5580.0,72.0,38
West Bengal,2020-09-27,244240,4721,213975,25544.0,1274607.0,13290.0,19
Lakshadweep,2020-09-27,0,0,0,0.0,10064.0,49.0,31
Chandigarh,2020-09-27,11380,145,8937,2298.0,9243.0,185.0,4
Mizoram,2020-09-27,1865,0,1316,549.0,-451.0,0.0,15
Punjab,2020-09-28,110106,3238,88312,18556.0,29078.0,1151.0,3
Dadra and Nagar Haveli and Daman and Diu,2020-09-28,3002,2,2848,152.0,-13.0,0.0,26
Lakshadweep,2020-09-28,0,0,0,0.0,181.0,0.0,31
Arunachal Pradesh,2020-09-28,9004,14,6495,2495.0,7828.0,42.0,12
Haryana,2020-09-28,123782,1307,105990,16485.0,34522.0,420.0,6
Tripura,2020-09-28,24921,273,18959,5689.0,-11105.0,-144.0,16
Kerala,2020-09-28,175384,677,117921,56786.0,3628519.0,18751.0,32
Odisha,2020-09-28,209374,797,173571,35006.0,95626.0,672.0,21
Sikkim,2020-09-28,2871,33,2146,692.0,27931.0,346.0,11
Bihar,2020-09-28,178702,888,164987,12827.0,-162060.0,-745.0,10
Ladakh,2020-09-28,4103,58,3032,1013.0,-604.0,-14.0,38
Unknown,2020-09-28,0,0,0,0.0,0.0,0.0,97
Uttar Pradesh,2020-09-28,387085,5594,325888,55603.0,141748.0,1988.0,9
Himachal Pradesh,2020-09-28,14191,175,10359,3657.0,11295.0,202.0,2
Goa,2020-09-28,31958,401,26460,5097.0,14868.0,276.0,30
Jharkhand,2020-09-28,79909,679,66797,12433.0,339249.0,4574.0,20
Puducherry,2020-09-28,26400,513,20648,5239.0,32222.0,292.0,34
Mizoram,2020-09-28,1908,0,1373,535.0,16501.0,85.0,15
Meghalaya,2020-09-28,5302,43,3779,1480.0,8698.0,105.0,17
West Bengal,2020-09-28,247425,4781,216921,25723.0,1507621.0,15120.0,19
Manipur,2020-09-28,10299,64,7876,2359.0,10478.0,136.0,14
Andhra Pradesh,2020-09-28,675674,5708,605090,64876.0,-658740.0,-5502.0,37
Jammu and Kashmir,2020-09-28,72190,1132,52859,18199.0,-33967.0,-415.0,1
Gujarat,2020-09-28,133057,3416,113008,16633.0,141465.0,1002.0,24
Tamil Nadu,2020-09-28,580808,9313,525154,46341.0,1868769.0,22588.0,33
Andaman and Nicobar Islands,2020-09-28,3794,53,3553,188.0,3772.0,76.0,35
Madhya Pradesh,2020-09-28,122209,2207,97571,22431.0,350576.0,2730.0,23
Chandigarh,2020-09-28,11553,147,9103,2303.0,53868.0,673.0,4
Uttarakhand,2020-09-28,47045,574,35672,10799.0,285022.0,5999.0,5
Telangana,2020-09-28,187211,1107,156431,29673.0,493202.0,2912.0,36
Maharashtra,2020-09-28,1339232,35571,1030015,273646.0,-218011.0,-4688.0,27
Delhi,2020-09-28,271114,5235,236651,29228.0,318430.0,4339.0,7
Rajasthan,2020-09-28,128859,1441,107718,19700.0,825591.0,7513.0,8
Chhattisgarh,2020-09-28,104733,848,72224,31661.0,191893.0,2769.0,22
Karnataka,2020-09-28,575566,8582,462241,104743.0,82139.0,879.0,29
Nagaland,2020-09-28,5946,16,4888,1042.0,19293.0,479.0,13
Assam,2020-09-28,169985,655,139980,29350.0,-153914.0,-620.0,18
Maharashtra,2020-09-29,1351153,35751,1049947,265455.0,5360875.0,105802.0,27
Bihar,2020-09-29,179832,892,166276,12664.0,547345.0,11204.0,10
Manipur,2020-09-29,10477,64,7982,2431.0,-7856.0,-59.0,14
Delhi,2020-09-29,273098,5272,240703,27123.0,54620.0,709.0,7
Odisha,2020-09-29,212609,813,177585,34211.0,-180732.0,-636.0,21
Telangana,2020-09-29,189283,1116,158690,29477.0,84058.0,356.0,36
Haryana,2020-09-29,125412,1331,108411,15670.0,-34297.0,-375.0,6
Jharkhand,2020-09-29,81417,688,68603,12126.0,211113.0,3294.0,20
Lakshadweep,2020-09-29,0,0,0,0.0,0.0,0.0,31
Rajasthan,2020-09-29,130971,1456,109472,20043.0,823500.0,7498.0,8
Mizoram,2020-09-29,1958,0,1459,499.0,-1641.0,0.0,15
Dadra and Nagar Haveli and Daman and Diu,2020-09-29,3012,2,2877,133.0,-1061.0,0.0,26
West Bengal,2020-09-29,250580,4837,219844,25899.0,321640.0,5392.0,19
Meghalaya,2020-09-29,5362,46,3868,1448.0,76800.0,1367.0,17
Tripura,2020-09-29,25353,276,19203,5874.0,-945.0,-8.0,16
Chandigarh,2020-09-29,11678,153,9325,2200.0,9912.0,198.0,4
Uttarakhand,2020-09-29,47502,580,36856,10066.0,235737.0,4043.0,5
Ladakh,2020-09-29,4152,58,3064,1030.0,16920.0,151.0,38
Jammu and Kashmir,2020-09-29,73014,1146,54267,17601.0,257104.0,3280.0,1
Sikkim,2020-09-29,2896,34,2164,698.0,29016.0,361.0,11
Tamil Nadu,2020-09-29,586397,9383,530708,46306.0,125316.0,1573.0,33
Gujarat,2020-09-29,134461,3428,114344,16689.0,198013.0,1227.0,24
Punjab,2020-09-29,111375,3284,90345,17746.0,490093.0,13221.0,3
Andaman and Nicobar Islands,2020-09-29,3803,53,3582,168.0,1126.0,9.0,35
Assam,2020-09-29,173629,667,142300,30662.0,420322.0,5060.0,18
Goa,2020-09-29,32396,407,27072,4917.0,141038.0,2780.0,30
Nagaland,2020-09-29,5957,17,4938,1002.0,6235.0,74.0,13
Uttar Pradesh,2020-09-29,390875,5652,331270,53953.0,-48087.0,-783.0,9
Himachal Pradesh,2020-09-29,14457,180,10627,3650.0,187090.0,3291.0,2
Unknown,2020-09-29,0,0,0,0.0,0.0,0.0,97
Andhra Pradesh,2020-09-29,681161,5745,612300,63116.0,200112.0,1353.0,37
Arunachal Pradesh,2020-09-29,9332,15,6592,2725.0,33232.0,186.0,12
Kerala,2020-09-29,179922,697,121268,57957.0,3766385.0,19616.0,32
Puducherry,2020-09-29,26685,515,21156,5014.0,-25883.0,-503.0,34
Madhya Pradesh,2020-09-29,124166,2242,100012,21912.0,667590.0,8270.0,23
Chhattisgarh,2020-09-29,108458,877,74537,33044.0,898177.0,12716.0,22
Karnataka,2020-09-29,582458,8641,469750,104067.0,176116.0,1786.0,29
Sikkim,2020-09-30,2937,35,2235,667.0,14174.0,238.0,11
Lakshadweep,2020-09-30,0,0,0,0.0,9715.0,48.0,31
Maharashtra,2020-09-30,1366129,36181,1069159,260789.0,5258171.0,104402.0,27
Uttar Pradesh,2020-09-30,394856,5715,336981,52160.0,-369059.0,-4966.0,9
Dadra and Nagar Haveli and Daman and Diu,2020-09-30,3032,2,2910,120.0,362.0,0.0,26
Mizoram,2020-09-30,1986,0,1576,410.0,137241.0,530.0,15
Punjab,2020-09-30,112460,3359,92277,16824.0,17697.0,736.0,3
Kerala,2020-09-30,187276,719,124688,61869.0,5067698.0,47465.0,32
Odisha,2020-09-30,215676,828,181481,33367.0,836642.0,7612.0,21
West Bengal,2020-09-30,253768,4899,222805,26064.0,-240237.0,-4359.0,19
Ladakh,2020-09-30,4195,58,3107,1030.0,-3359.0,-57.0,38
Unknown,2020-09-30,0,0,0,0.0,8015.0,0.0,97
Tripura,2020-09-30,25734,277,19692,5765.0,59256.0,551.0,16
Puducherry,2020-09-30,27066,517,21616,4933.0,93351.0,1273.0,34
Jharkhand,2020-09-30,82540,700,69898,11942.0,36398.0,377.0,20
Himachal Pradesh,2020-09-30,14747,183,10991,3573.0,41163.0,765.0,2
Arunachal Pradesh,2020-09-30,9553,16,6743,2794.0,41586.0,236.0,12
Madhya Pradesh,2020-09-30,126043,2281,102445,21317.0,-114799.0,-1799.0,23
Jammu and Kashmir,2020-09-30,74095,1164,55517,17414.0,54452.0,817.0,1
Andaman and Nicobar Islands,2020-09-30,3821,53,3587,181.0,-3393.0,-51.0,35
Karnataka,2020-09-30,592911,8777,476378,107756.0,2417936.0,29574.0,29
Rajasthan,2020-09-30,133119,1471,111272,20376.0,821197.0,7483.0,8
Chhattisgarh,2020-09-30,110655,916,78514,31225.0,939573.0,12723.0,22
Tamil Nadu,2020-09-30,591943,9453,536209,46281.0,1973509.0,24706.0,33
Bihar,2020-09-30,181285,894,168025,12366.0,646816.0,11350.0,10
Nagaland,2020-09-30,6040,17,4986,1037.0,5890.0,62.0,13
Gujarat,2020-09-30,135842,3439,115727,16676.0,732459.0,6691.0,24
Uttarakhand,2020-09-30,47995,591,38282,9122.0,-45694.0,-564.0,5
Chandigarh,2020-09-30,11816,158,9598,2060.0,-4829.0,-75.0,4
Haryana,2020-09-30,126974,1356,110814,14804.0,134284.0,1526.0,6
Meghalaya,2020-09-30,5463,47,3940,1476.0,11383.0,124.0,17
Andhra Pradesh,2020-09-30,687351,5780,622136,59435.0,1386039.0,8665.0,37
Telangana,2020-09-30,191386,1127,160933,29326.0,-101127.0,-443.0,36
Goa,2020-09-30,32777,419,27781,4577.0,15999.0,282.0,30
Assam,2020-09-30,177221,680,144002,32539.0,30520.0,254.0,18
Delhi,2020-09-30,276325,5320,243481,27524.0,1573271.0,20727.0,7
Manipur,2020-09-30,10746,65,8039,2642.0,-9969.0,-65.0,14
Jharkhand,2020-10-01,83651,713,71342,11596.0,-60596.0,-469.0,20
Chhattisgarh,2020-10-01,113602,957,81718,30927.0,-66322.0,-562.0,22
Andaman and Nicobar Islands,2020-10-01,3835,53,3608,174.0,1156.0,9.0,35
Uttar Pradesh,2020-10-01,399082,5784,342415,50883.0,818870.0,6454.0,9
Rajasthan,2020-10-01,135292,1486,113225,20581.0,1036137.0,7695.0,8
Tamil Nadu,2020-10-01,597602,9520,541819,46263.0,244195.0,2863.0,33
Unknown,2020-10-01,0,0,0,0.0,0.0,0.0,97
Madhya Pradesh,2020-10-01,128047,2316,104734,20997.0,661017.0,6391.0,23
Uttarakhand,2020-10-01,49000,611,39278,9111.0,366514.0,6910.0,5
Andhra Pradesh,2020-10-01,693484,5828,629211,58445.0,1379425.0,8614.0,37
Mizoram,2020-10-01,2017,0,1597,420.0,24673.0,120.0,15
Punjab,2020-10-01,113886,3406,93666,16814.0,22595.0,889.0,3
Tripura,2020-10-01,26066,283,20092,5691.0,7285.0,108.0,16
Jammu and Kashmir,2020-10-01,75070,1181,56872,17017.0,259110.0,3269.0,1
Lakshadweep,2020-10-01,0,0,0,0.0,3080.0,6.0,31
Chandigarh,2020-10-01,11938,162,9813,1963.0,49262.0,635.0,4
Nagaland,2020-10-01,6163,17,5066,1080.0,5985.0,71.0,13
Dadra and Nagar Haveli and Daman and Diu,2020-10-01,3040,2,2929,109.0,7490.0,2.0,26
Meghalaya,2020-10-01,5639,49,3975,1615.0,8293.0,99.0,17
West Bengal,2020-10-01,257049,4958,225759,26332.0,317877.0,5308.0,19
Gujarat,2020-10-01,137232,3450,117099,16683.0,691135.0,6650.0,24
Puducherry,2020-10-01,27544,521,22074,4949.0,8131.0,77.0,34
Ladakh,2020-10-01,4269,58,3147,1064.0,1755.0,15.0,38
Delhi,2020-10-01,279715,5361,247446,26908.0,418290.0,5796.0,7
Goa,2020-10-01,33418,428,28125,4865.0,-32103.0,-425.0,30
Himachal Pradesh,2020-10-01,14976,186,11390,3400.0,212829.0,3673.0,2
Haryana,2020-10-01,128599,1382,112877,14340.0,15703.0,219.0,6
Sikkim,2020-10-01,3012,37,2303,672.0,3120.0,98.0,11
Karnataka,2020-10-01,601767,8864,485268,107635.0,2374233.0,28930.0,29
Bihar,2020-10-01,182728,904,169732,12092.0,67184.0,479.0,10
Odisha,2020-10-01,219119,842,185700,32577.0,985541.0,7678.0,21
Assam,2020-10-01,180811,697,145618,34496.0,10586.0,97.0,18
Manipur,2020-10-01,10983,67,8460,2456.0,-10617.0,-67.0,14
Maharashtra,2020-10-01,1384446,36662,1088322,259462.0,293960.0,7249.0,27
Telangana,2020-10-01,193600,1135,163407,29058.0,441720.0,2616.0,36
Kerala,2020-10-01,196106,742,128224,67140.0,25227.0,71.0,32
Arunachal Pradesh,2020-10-01,9796,16,6890,2890.0,6296.0,33.0,12
Rajasthan,2020-10-02,137485,1500,115178,20807.0,-81385.0,-678.0,8
Meghalaya,2020-10-02,5802,51,4001,1750.0,14777.0,191.0,17
Arunachal Pradesh,2020-10-02,10020,16,7049,2955.0,45055.0,264.0,12
Madhya Pradesh,2020-10-02,130088,2336,107279,20473.0,-116718.0,-1772.0,23
Punjab,2020-10-02,115151,3451,95937,15763.0,-15221.0,-591.0,3
Haryana,2020-10-02,129912,1402,115038,13472.0,128285.0,1430.0,6
Gujarat,2020-10-02,138583,3460,118433,16690.0,531345.0,4813.0,24
Nagaland,2020-10-02,6244,17,5144,1083.0,5826.0,71.0,13
Chhattisgarh,2020-10-02,116153,986,84699,30468.0,192319.0,2773.0,22
Tripura,2020-10-02,26362,286,20596,5480.0,-18271.0,-217.0,16
Himachal Pradesh,2020-10-02,15219,195,11608,3416.0,40796.0,757.0,2
Uttarakhand,2020-10-02,49000,611,39278,9111.0,552455.0,8080.0,5
Unknown,2020-10-02,0,0,0,0.0,0.0,0.0,97
Uttar Pradesh,2020-10-02,399082,5784,342415,50883.0,134273.0,1860.0,9
Lakshadweep,2020-10-02,0,0,0,0.0,10207.0,50.0,31
Telangana,2020-10-02,195609,1145,165844,28620.0,98314.0,449.0,36
